Image Tag,Algorithm Name,Analysis Region,Area Analyzed (µm²),Total Cells,CD20 Positive Cells,TCR-Alpha-Delta Positive Cells,IL7R Positive Cells,B-Cells:CD20+TCR- Cells,T-Cells:CD20-TCR+ Cells,Pool-ILCs:CD20-TCR-IL7R+ Cells,IL7R+CD20+ Cells,IL7R+CD20- Cells,IL7R+TCR+ Cells,IL7R+TCR- Cells,EOMES Positive Cells,TBX Positive Cells,ILC1:TBX+EOMES+CD20-TCR-IL7R+ Cells,ILC1:TBX+EOMES-CD20-TCR-IL7R+ Cells,ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Cells,T-Helper:CD20-TCR+TBX+EOMES+ Cells,GATA Positive Cells,ICOS Positive Cells,ILC2:GATA+ICOS+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+GATA+ICOS+ Cells,ROR-GammaT Positive Cells,AHR Positive Cells,ILC3:ROR+AHR+CD20-TCR-IL7R+ Cells,T-Helper:CD20-TCR+ROR+AHR+ Cells,% CD20 Positive Cells,% TCR-Alpha-Delta Positive Cells,% IL7R Positive Cells,% B-Cells:CD20+TCR- Positive Cells,% T-Cells:CD20-TCR+ Positive Cells,% Pool-ILCs:CD20-TCR-IL7R+ Positive Cells,% IL7R+CD20+ Positive Cells,% IL7R+CD20- Positive Cells,% IL7R+TCR+ Positive Cells,% IL7R+TCR- Positive Cells,% EOMES Positive Cells,% TBX Positive Cells,% ILC1:TBX+EOMES+CD20-TCR-IL7R+ Positive Cells,% ILC1:TBX+EOMES-CD20-TCR-IL7R+ Positive Cells,% ILC1s:TBX+EOMES+/-CD20-TCR-IL7R+ Positive Cells,% NK/ILC1ie:TBX+EOMES+CD20-TCR-IL7R- Positive Cells,% T-Helper:CD20-TCR+TBX+EOMES+ Positive Cells,% GATA Positive Cells,% ICOS Positive Cells,% ILC2:GATA+ICOS+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+GATA+ICOS+ Positive Cells,% ROR-GammaT Positive Cells,% AHR Positive Cells,% ILC3:ROR+AHR+CD20-TCR-IL7R+ Positive Cells,% T-Helper:CD20-TCR+ROR+AHR+ Positive Cells,%Pool-TCR+ T-Helper:CD20-TCR+TBX+EOMES+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+GATA+ICOS+ Cells,%Pool-TCR+ T-Helper:CD20-TCR+ROR+AHR+ Cells,B Cells - Density/mm²,T Cells - Density/mm²,Pool IL7R (Non B/T) - Density/mm²,NK/ILC1ie - Density/mm²,ILC1s - Density/mm²,TH1 - Density/mm²,ILC2 - Density/mm²,TH2 - Density/mm²,ILC3 - Density/mm²,TH17 - Density/mm²
169898_NVA_17-001.ILC1.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,43709880,244772,10780,13508,37322,8955,11683,27259,1540,35782,9389,27933,445,2006,44,715,759,10,11,,,,,,,,,4.404099,5.518605,15.247659,3.658507,4.773013,11.136486,0.629157,14.618502,3.835814,11.411844,0.181802,0.819538,0.017976,0.292109,0.310085,0.004085,0.004494,,,,,,,,,0.081433225,,,204.8735892,267.2851081,623.634748,0.228781227,17.36449517,0.25165935,,,,
169899_NVA_17-001.ILC1.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,149535952,514935,6680,19368,102862,4275,16963,86457,2303,100559,15628,87234,4243,19092,248,8497,8745,40,82,,,,,,,,,1.297251,3.761251,19.975725,0.830202,3.294202,16.789886,0.447241,19.528484,3.034946,16.940779,0.823987,3.707652,0.048161,1.650111,1.698272,0.007768,0.015924,,,,,,,,,0.423378769,,,28.58844273,113.4376033,578.1686534,0.267494201,58.48091969,0.548363112,,,,
169900_NVA_17-001.ILC1.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,30550740,183923,1547,2609,36818,988,2050,34147,758,36060,2338,34480,447,4766,172,2605,2777,12,10,,,,,,,,,0.841113,1.418528,20.01816,0.537181,1.114597,18.565922,0.412129,19.606031,1.271184,18.746975,0.243036,2.591302,0.093517,1.416354,1.509871,0.006524,0.005437,,,,,,,,,0.383288616,,,32.33964218,67.10148428,1117.714334,0.392789176,90.89796188,0.327324314,,,,
169901_NVA_17-001.ILC1.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,68042632,303708,2974,19518,73434,2011,18555,55601,997,72437,17462,55972,1384,30026,640,11288,11928,73,200,,,,,,,,,0.97923,6.426568,24.179146,0.662149,6.109487,18.307388,0.328276,23.85087,5.749601,18.429544,0.455701,9.88647,0.210729,3.716728,3.927457,0.024036,0.065853,,,,,,,,,1.024695153,,,29.55500017,272.6966823,817.1494601,1.072856794,175.3018608,2.939333681,,,,
169902_NVA_17-001.ILC1.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,56167532,540122,38939,105104,190617,30272,96437,89760,15982,174635,91531,99086,5811,44880,668,11799,12467,104,1582,,,,,,,,,7.209297,19.459307,35.29147,5.60466,17.85467,16.618467,2.958961,32.332512,16.946356,18.345114,1.075868,8.309234,0.123676,2.184506,2.308182,0.019255,0.292897,,,,,,,,,1.505175826,,,538.9590556,1716.952776,1598.076269,1.851603521,221.960972,28.16573817,,,,
169903_NVA_17-001.ILC1.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,17182692,142664,10987,13238,58531,9347,11598,44246,3607,54924,11851,46680,1721,9023,296,5147,5443,25,103,,,,,,,,,7.701312,9.279145,41.027168,6.551758,8.129591,31.014132,2.528318,38.498852,8.306931,32.720238,1.206331,6.324651,0.207481,3.607778,3.815259,0.017524,0.072198,,,,,,,,,0.778063152,,,543.9776259,674.9815454,2575.033062,1.45495246,316.7722497,5.994404136,,,,
169904_NVA_17-001.ILC1.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,28344532,185879,889,788,27411,843,742,26667,261,27150,505,26906,28,1523,1,768,769,1,0,,,,,,,,,0.478268,0.423932,14.74669,0.453521,0.399184,14.34643,0.140414,14.606277,0.271682,14.475008,0.015064,0.81935,0.000538,0.413172,0.41371,0.000538,0,,,,,,,,,0,,,29.74118606,26.17788856,940.8163804,0.035280173,27.13045324,0,,,,
169905_NVA_17-001.ILC1.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC1-Default,GC Excluded,33785568,173446,3479,10299,39770,2063,8883,30233,1507,38263,9049,30721,333,2870,32,1322,1354,0,26,,,,,,,,,2.005812,5.937871,22.929327,1.189419,5.121479,17.430786,0.868858,22.060469,5.217186,17.712141,0.191991,1.654694,0.01845,0.762197,0.780647,0,0.01499,,,,,,,,,0.252451694,,,61.06157517,262.9229143,894.8495405,0,40.07628346,0.769559357,,,,
169906_NVA_17-001.ILC2.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,40468824,231835,12466,5983,22856,10236,3753,18798,1226,21630,3702,19154,,,,,,,,2390,879,16,171,,,,,5.3771,2.580715,9.858736,4.415209,1.618824,8.108353,0.528824,9.329911,1.596825,8.26191,,,,,,,,1.030906,0.379149,0.006901,0.073759,,,,,,2.858097944,,252.9354448,92.73805436,464.5057143,,,,0.395366072,4.225474899,,
169907_NVA_17-001.ILC2.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,148021760,498561,6430,37237,53475,3392,34199,29578,1308,52167,23771,29704,,,,,,,,12012,9578,140,1532,,,,,1.289712,7.468895,10.725869,0.680358,6.859542,5.932674,0.262355,10.463514,4.767922,5.957947,,,,,,,,2.409334,1.921129,0.028081,0.307284,,,,,,4.114187502,,22.91554971,231.0403551,199.8219721,,,,0.945806887,10.34982965,,
169908_NVA_17-001.ILC2.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,30705402,184325,1072,3367,23667,703,2998,20713,366,23301,2801,20866,,,,,,,,3256,1259,128,121,,,,,0.581581,1.826665,12.839821,0.381392,1.626475,11.237217,0.198562,12.641258,1.519598,11.320223,,,,,,,,1.766445,0.683033,0.069443,0.065645,,,,,,3.593703594,,22.89499418,97.63754274,674.5718555,,,,4.168647588,3.940674673,,
169909_NVA_17-001.ILC2.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,67653760,267896,3244,29633,44500,1934,28323,22336,653,43847,22081,22419,,,,,,,,19693,9013,343,2905,,,,,1.210918,11.061382,16.610924,0.721922,10.572387,8.337564,0.243751,16.367172,8.242377,8.368546,,,,,,,,7.350987,3.364365,0.128035,1.084376,,,,,,9.803259879,,28.58673339,418.6463546,330.1516427,,,,5.069932551,42.93922466,,
169910_NVA_17-001.ILC2.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,56021652,537514,33249,135965,133679,24325,127041,34623,4219,129460,98373,35306,,,,,,,,95072,93769,1393,47884,,,,,6.185699,25.295155,24.869864,4.525464,23.63492,6.44132,0.78491,24.084953,18.301477,6.568387,,,,,,,,17.687353,17.444941,0.259156,8.908419,,,,,,35.21788696,,434.2071169,2267.712491,618.0289007,,,,24.86538598,854.7409491,,
169911_NVA_17-001.ILC2.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,17195174,143092,13999,16417,49250,11273,13691,34260,2905,46345,13495,35755,,,,,,,,37185,10099,2237,3836,,,,,9.783216,11.473039,34.418415,7.878149,9.56797,23.942638,2.030162,32.388252,9.430995,24.987421,,,,,,,,25.986778,7.057697,1.56333,2.680793,,,,,,23.36602302,,655.5909234,796.2117743,1992.419501,,,,130.0946417,223.0858496,,
169912_NVA_17-001.ILC2.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,28552184,188816,1793,6585,18154,1355,6147,13574,376,17778,4408,13746,,,,,,,,1499,5522,151,265,,,,,0.949602,3.487522,9.614652,0.71763,3.25555,7.189009,0.199136,9.415516,2.334548,7.280103,,,,,,,,0.793895,2.92454,0.079972,0.140348,,,,,,4.024297646,,47.45696511,215.2900107,475.4102173,,,,5.288562164,9.28125148,,
169913_NVA_17-001.ILC2.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC2-Default,GC Excluded,33989880,173584,2973,20010,34356,1466,18503,18514,852,33504,15741,18615,,,,,,,,10015,4111,77,1523,,,,,1.712716,11.52756,19.792147,0.844548,10.659392,10.66573,0.490829,19.301317,9.068233,10.723915,,,,,,,,5.769541,2.368306,0.044359,0.877385,,,,,,7.611194403,,43.13048472,544.3679119,544.6915376,,,,2.265380166,44.80745445,,
169914_NVA_17-001.ILC3.RunDC_19T006813.10.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,42926072,238761,19037,22384,39675,14960,18307,24141,2562,37113,14653,25022,,,,,,,,,,,,5483,54443,1525,312,7.973245,9.375066,16.617035,6.26568,7.6675,10.110948,1.07304,15.543996,6.137099,10.479936,,,,,,,,,,,,2.296439,22.802299,0.638714,0.130675,,,1.393852752,348.506148,426.4774098,562.3854892,,,,,,35.5261949,7.268310038
169915_NVA_17-001.ILC3.RunDC_19T029473.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,150412928,518338,8074,32143,52007,4006,28075,32259,1585,50422,19592,32415,,,,,,,,,,,,69551,387853,6396,4574,1.557671,6.201166,10.033415,0.772855,5.41635,6.223545,0.305785,9.72763,3.779773,6.253642,,,,,,,,,,,,13.418078,74.826271,1.233944,0.882436,,,14.23015898,26.63334896,186.6528388,214.4695967,,,,,,42.52294058,30.40962011
169916_NVA_17-001.ILC3.RunDC_19T053799.30.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,31283132,190282,3181,4472,21019,2050,3341,17435,741,20278,3339,17680,,,,,,,,,,,,9821,79396,2493,503,1.671729,2.350196,11.046237,1.077348,1.755815,9.162717,0.389422,10.656815,1.754764,9.291472,,,,,,,,,,,,5.161287,41.725441,1.310161,0.264345,,,11.24776386,65.53052297,106.7987694,557.3291063,,,,,,79.69150915,16.07895271
169917_NVA_17-001.ILC3.RunDC_19T058771.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,66757248,313688,9721,26934,31269,6367,23580,15788,954,30315,15358,15911,,,,,,,,,,,,55789,207531,4274,6593,3.098939,8.586239,9.968185,2.029724,7.517023,5.033026,0.304124,9.664062,4.895947,5.072237,,,,,,,,,,,,17.784868,66.158409,1.3625,2.10177,,,24.4783545,95.37541152,353.2200728,236.4986645,,,,,,64.02301065,98.76081171
169918_NVA_17-001.ILC3.RunDC_20T034660.04.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,56142556,530097,55775,110458,71682,43602,98285,18993,2760,68922,52198,19484,,,,,,,,,,,,19479,327456,3595,5024,10.521659,20.837318,13.52243,8.225287,18.540947,3.582929,0.520659,13.001771,9.846877,3.675554,,,,,,,,,,,,3.674611,61.772846,0.678178,0.947751,,,4.548335114,776.6301199,1750.6328,338.2995245,,,,,,64.03342235,89.48648508
169919_NVA_17-001.ILC3.RunDC_20T040991.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,17192306,141262,14906,14090,43573,12891,12075,30548,2889,40684,11265,32308,,,,,,,,,,,,11994,97815,5039,1069,10.552024,9.974374,30.845522,9.125596,8.547946,21.625065,2.045136,28.800385,7.974544,22.870977,,,,,,,,,,,,8.490606,69.243675,3.567131,0.75675,,,7.586941093,749.8121543,702.3490624,1776.841338,,,,,,293.0962257,62.17897704
169920_NVA_17-001.ILC3.RunDC_20T044736.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,28001386,181633,1839,4730,17471,1491,4382,14353,259,17212,2985,14486,,,,,,,,,,,,5992,141074,1138,403,1.012481,2.604152,9.618847,0.820886,2.412557,7.902198,0.142595,9.476252,1.643424,7.975423,,,,,,,,,,,,3.29896,77.669807,0.626538,0.221876,,,8.520084567,53.24736426,156.4922536,512.5817701,,,,,,40.64084542,14.39214473
169921_NVA_17-001.ILC3.RunDC_20T047891.01.czi,HighPlex FL v4.2.5_ILC3-Default,GC Excluded,34211236,175046,4227,15461,32549,2323,13557,20877,1050,31499,11500,21049,,,,,,,,,,,,4780,107963,1508,993,2.414794,8.832536,18.594542,1.32708,7.744822,11.926579,0.599842,17.994699,6.569702,12.024839,,,,,,,,,,,,2.730711,61.676929,0.861488,0.567279,,,6.422611733,67.90166833,396.2733179,610.2381101,,,,,,44.0790856,29.02555172
